alpha,seed,correlation,filename
0.2,11722,0.8247,simcse_sbert_seed_11722_alpha_0.2_batch_10.0_corr_0.8247.txt
0.3,11721,0.8261,simcse_sbert_seed_11721_alpha_0.3_batch_10.0_corr_0.8261.txt
0.8,11717,0.824,simcse_sbert_seed_11717_alpha_0.8_batch_10.0_corr_0.8240.txt
0.4,11719,0.8266,simcse_sbert_seed_11719_alpha_0.4_batch_10.0_corr_0.8266.txt
1.0,11719,0.8149,simcse_sbert_seed_11719_alpha_1.0_batch_10.0_corr_0.8149.txt
0.4,11723,0.8257,simcse_sbert_seed_11723_alpha_0.4_batch_10.0_corr_0.8257.txt
1.0,11722,0.816,simcse_sbert_seed_11722_alpha_1.0_batch_10.0_corr_0.8160.txt
0.5,11722,0.8249,simcse_sbert_seed_11722_alpha_0.5_batch_10.0_corr_0.8249.txt
0.3,11715,0.8246,simcse_sbert_seed_11715_alpha_0.3_batch_10.0_corr_0.8246.txt
0.3,11714,0.8259,simcse_sbert_seed_11714_alpha_0.3_batch_10.0_corr_0.8259.txt
1.0,11720,0.8171,simcse_sbert_seed_11720_alpha_1.0_batch_10.0_corr_0.8171.txt
1.0,11713,0.8137,simcse_sbert_seed_11713_alpha_1.0_batch_10.0_corr_0.8137.txt
1.0,11711,0.813,simcse_sbert_seed_11711_alpha_1.0_batch_10.0_corr_0.8130.txt
0.0,11713,0.8248,simcse_sbert_seed_11713_alpha_0.0_batch_10.0_corr_0.8248.txt
0.2,11714,0.8259,simcse_sbert_seed_11714_alpha_0.2_batch_10.0_corr_0.8259.txt
0.0,11711,0.8232,simcse_sbert_seed_11711_alpha_0.0_batch_10.0_corr_0.8232.txt
0.8,11713,0.8253,simcse_sbert_seed_11713_alpha_0.8_batch_10.0_corr_0.8253.txt
0.3,11716,0.8247,simcse_sbert_seed_11716_alpha_0.3_batch_10.0_corr_0.8247.txt
0.4,11714,0.826,simcse_sbert_seed_11714_alpha_0.4_batch_10.0_corr_0.8260.txt
0.0,11712,0.8257,simcse_sbert_seed_11712_alpha_0.0_batch_10.0_corr_0.8257.txt
0.6,11723,0.8258,simcse_sbert_seed_11723_alpha_0.6_batch_10.0_corr_0.8258.txt
0.7,11720,0.8288,simcse_sbert_seed_11720_alpha_0.7_batch_10.0_corr_0.8288.txt
0.1,11717,0.8234,simcse_sbert_seed_11717_alpha_0.1_batch_10.0_corr_0.8234.txt
0.4,11717,0.8236,simcse_sbert_seed_11717_alpha_0.4_batch_10.0_corr_0.8236.txt
0.2,11718,0.8257,simcse_sbert_seed_11718_alpha_0.2_batch_10.0_corr_0.8257.txt
0.6,11722,0.8249,simcse_sbert_seed_11722_alpha_0.6_batch_10.0_corr_0.8249.txt
0.5,11715,0.8246,simcse_sbert_seed_11715_alpha_0.5_batch_10.0_corr_0.8246.txt
0.7,11721,0.826,simcse_sbert_seed_11721_alpha_0.7_batch_10.0_corr_0.8260.txt
0.1,11721,0.826,simcse_sbert_seed_11721_alpha_0.1_batch_10.0_corr_0.8260.txt
0.1,11712,0.8258,simcse_sbert_seed_11712_alpha_0.1_batch_10.0_corr_0.8258.txt
0.5,11724,0.8239,simcse_sbert_seed_11724_alpha_0.5_batch_10.0_corr_0.8239.txt
0.9,11716,0.8257,simcse_sbert_seed_11716_alpha_0.9_batch_10.0_corr_0.8257.txt
0.0,11722,0.8245,simcse_sbert_seed_11722_alpha_0.0_batch_10.0_corr_0.8245.txt
0.9,11725,0.8262,simcse_sbert_seed_11725_alpha_0.9_batch_10.0_corr_0.8262.txt
0.3,11717,0.8235,simcse_sbert_seed_11717_alpha_0.3_batch_10.0_corr_0.8235.txt
0.6,11712,0.8259,simcse_sbert_seed_11712_alpha_0.6_batch_10.0_corr_0.8259.txt
0.5,11714,0.826,simcse_sbert_seed_11714_alpha_0.5_batch_10.0_corr_0.8260.txt
0.3,11718,0.8257,simcse_sbert_seed_11718_alpha_0.3_batch_10.0_corr_0.8257.txt
0.9,11720,0.8288,simcse_sbert_seed_11720_alpha_0.9_batch_10.0_corr_0.8288.txt
0.7,11712,0.826,simcse_sbert_seed_11712_alpha_0.7_batch_10.0_corr_0.8260.txt
